Filename	Segment	WC	WPS	Sixltr	Dic	Pronoun	I	We	Self	You	Other	Negate	Assent	Article	Preps	Number	Affect	Posemo	Posfeel	Optim	Negemo	Anx	Anger	Sad	Cogmech	Cause	Insight	Discrep	Inhib	Tentat	Certain	Senses	See	Hear	Feel	Social	Comm	Othref	Friends	Family	Humans	Time	Past	Present	Future	Space	Up	Down	Incl	Excl	Motion	Occup	School	Job	Achieve	Leisure	Home	Sports	TV	Music	Money	Metaph	Relig	Death	Physcal	Body	Sexual	Eating	Sleep	Groom	Swear	Nonfl	Fillers	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
Sitzung 1 03D04K_03M09T_TalkTurns.docx	11	9	9.00	11.11	88.89	11.11	0.00	0.00	0.00	0.00	11.11	0.00	11.11	11.11	11.11	0.00	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	11.11	0.00	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	22.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	12	10	5.00	10.00	100.00	20.00	10.00	0.00	10.00	0.00	10.00	0.00	20.00	20.00	0.00	0.00	10.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	20.00	0.00	10.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.00	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	13	1	1.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	14	31	10.33	22.58	74.19	6.45	0.00	0.00	0.00	0.00	6.45	3.23	6.45	6.45	3.23	0.00	6.45	6.45	0.00	3.23	0.00	0.00	0.00	0.00	22.58	0.00	3.23	0.00	0.00	0.00	19.35	0.00	0.00	0.00	0.00	6.45	0.00	19.35	0.00	0.00	0.00	6.45	3.23	3.23	0.00	3.23	0.00	0.00	9.68	0.00	0.00	16.13	9.68	0.00	6.45	6.45	6.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.03	9.68	19.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	15	2	2.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00	50.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	50.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	16	6	6.00	0.00	100.00	33.33	16.67	0.00	16.67	0.00	16.67	0.00	0.00	0.00	16.67	0.00	16.67	16.67	0.00	16.67	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	0.00	16.67	0.00	16.67	0.00	0.00	0.00	0.00	0.00	16.67	0.00	16.67	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.67	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	17	41	6.83	21.95	82.93	17.07	4.88	4.88	9.76	7.32	0.00	2.44	9.76	2.44	4.88	0.00	4.88	4.88	0.00	4.88	0.00	0.00	0.00	0.00	14.63	4.88	2.44	2.44	0.00	4.88	4.88	0.00	0.00	0.00	0.00	12.20	0.00	12.20	0.00	0.00	0.00	0.00	7.32	7.32	0.00	12.20	2.44	0.00	9.76	4.88	0.00	4.88	2.44	0.00	2.44	2.44	2.44	0.00	0.00	0.00	0.00	4.88	4.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.83	9.76	12.20	0.00	0.00	4.88	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	18	18	18.00	22.22	88.89	27.78	16.67	11.11	27.78	0.00	0.00	0.00	5.56	5.56	0.00	0.00	11.11	5.56	0.00	0.00	5.56	0.00	0.00	0.00	16.67	0.00	11.11	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11	0.00	0.00	0.00	0.00	11.11	11.11	0.00	5.56	0.00	0.00	11.11	0.00	0.00	5.56	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.67	5.56	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	19	9	4.50	0.00	77.78	11.11	11.11	0.00	11.11	0.00	0.00	0.00	11.11	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	22.22	0.00	0.00	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.22	22.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	20	3	3.00	0.00	66.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.33	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	0.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.67	33.33	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	21	5	5.00	20.00	80.00	20.00	20.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	22	7	7.00	0.00	85.71	0.00	0.00	0.00	0.00	0.00	0.00	28.57	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	28.57	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.57	0.00	14.29	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	23	37	9.25	18.92	70.27	5.41	5.41	0.00	5.41	0.00	0.00	2.70	2.70	18.92	2.70	0.00	2.70	2.70	0.00	2.70	0.00	0.00	0.00	0.00	13.51	5.41	2.70	2.70	0.00	2.70	2.70	0.00	0.00	0.00	0.00	2.70	2.70	0.00	0.00	0.00	0.00	0.00	8.11	8.11	0.00	8.11	2.70	0.00	5.41	2.70	0.00	8.11	0.00	0.00	8.11	0.00	0.00	0.00	0.00	0.00	0.00	2.70	2.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.03	8.11	13.51	0.00	0.00	2.70	0.00	2.70	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	24	7	3.50	14.29	71.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.57	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.57	28.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	25	56	9.33	12.50	67.86	10.71	5.36	5.36	10.71	0.00	0.00	0.00	1.79	8.93	10.71	0.00	3.57	3.57	0.00	1.79	0.00	0.00	0.00	0.00	8.93	1.79	1.79	0.00	0.00	1.79	7.14	0.00	0.00	0.00	0.00	7.14	0.00	7.14	0.00	0.00	1.79	5.36	0.00	5.36	1.79	5.36	0.00	0.00	10.71	1.79	0.00	3.57	1.79	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.79	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.86	10.71	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	26	1	1.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	27	11	5.50	9.09	81.82	9.09	0.00	9.09	9.09	0.00	0.00	0.00	9.09	9.09	0.00	9.09	9.09	9.09	0.00	0.00	0.00	0.00	0.00	0.00	18.18	0.00	9.09	0.00	0.00	0.00	18.18	0.00	0.00	0.00	0.00	18.18	9.09	18.18	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.27	18.18	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	28	2	2.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	50.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	29	69	9.86	14.49	72.46	14.49	2.90	7.25	10.14	2.90	1.45	0.00	0.00	11.59	2.90	1.45	2.90	2.90	0.00	1.45	0.00	0.00	0.00	0.00	17.39	7.25	5.80	1.45	0.00	0.00	2.90	0.00	0.00	0.00	0.00	14.49	2.90	11.59	0.00	0.00	0.00	8.70	1.45	8.70	0.00	4.35	0.00	0.00	5.80	1.45	1.45	7.25	0.00	1.45	5.80	0.00	0.00	0.00	0.00	0.00	0.00	1.45	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.94	10.14	5.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	30	5	5.00	20.00	100.00	20.00	20.00	0.00	20.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	31	9	4.50	11.11	100.00	22.22	22.22	0.00	22.22	0.00	0.00	0.00	0.00	11.11	0.00	0.00	11.11	0.00	0.00	0.00	11.11	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	11.11	11.11	0.00	0.00	0.00	0.00	22.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.22	22.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	32	1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	33	87	9.67	19.54	70.11	11.49	5.75	4.60	10.34	1.15	0.00	2.30	6.90	5.75	5.75	2.30	2.30	2.30	0.00	0.00	0.00	0.00	0.00	0.00	11.49	0.00	4.60	1.15	0.00	4.60	2.30	0.00	0.00	0.00	0.00	9.20	3.45	6.90	1.15	0.00	0.00	8.05	1.15	10.34	0.00	6.90	0.00	0.00	5.75	1.15	2.30	1.15	0.00	0.00	1.15	1.15	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.54	10.34	9.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	34	1	1.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	35	28	9.33	10.71	53.57	10.71	3.57	3.57	7.14	0.00	3.57	0.00	0.00	10.71	7.14	0.00	3.57	3.57	0.00	0.00	0.00	0.00	0.00	0.00	3.57	0.00	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	7.14	0.00	0.00	0.00	7.14	3.57	10.71	0.00	7.14	0.00	0.00	3.57	0.00	0.00	3.57	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.86	10.71	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sitzung 1 03D04K_03M09T_TalkTurns.docx	36	1	1.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
